language,lm,finetuned,pretrained,encoding,task,Numberofsentence,NumberofErrorsentence,NumberofSkipsentence,NumberofValidsentence,BracketingRecall,BracketingPrecision,BracketingFMeasure,Completematch,Averagecrossing,Nocrossing,
french,bert-base-multilingual-cased,finetuned,pretrained,const,single,2541,0,0,2541,81.29,83.04,82.15,19.17,1.22,57.30,
french,xlm-roberta-base,finetuned,pretrained,const,single,2541,0,0,2541,81.71,83.56,82.63,19.87,1.15,59.07,
basque,bert-base-multilingual-cased,finetuned,pretrained,const,single,946,0,0,946,81.74,88.50,84.99,26.32,0.21,85.62,
basque,xlm-roberta-base,finetuned,pretrained,const,single,946,0,0,946,81.20,89.29,85.05,26.00,0.20,86.58,
hebrew,bert-base-multilingual-cased,finetuned,pretrained,const,single,716,0,0,716,74.33,76.52,75.41,0.70,6.50,12.57,
hebrew,xlm-roberta-base,finetuned,pretrained,const,single,716,0,0,716,75.07,77.37,76.20,0.70,6.50,11.59,
hungarian,bert-base-multilingual-cased,finetuned,pretrained,const,single,1009,0,0,1009,90.16,92.87,91.49,38.06,0.29,81.86,
hungarian,xlm-roberta-base,finetuned,pretrained,const,single,1009,0,0,1009,90.59,93.59,92.07,39.84,0.22,86.12,
korean,bert-base-multilingual-cased,finetuned,pretrained,const,single,2287,0,0,2287,84.40,88.44,86.37,30.35,1.07,51.33,
korean,xlm-roberta-base,finetuned,pretrained,const,single,2287,0,0,2287,86.17,89.96,88.02,33.23,0.91,55.71,
polish,bert-base-multilingual-cased,finetuned,pretrained,const,single,822,0,0,822,92.63,94.09,93.35,44.16,0.30,85.64,
polish,xlm-roberta-base,finetuned,pretrained,const,single,822,0,0,822,93.46,94.54,93.99,46.59,0.27,87.71,
swedish,bert-base-multilingual-cased,finetuned,pretrained,const,single,666,0,0,666,76.93,81.98,79.38,24.32,0.92,61.86,
swedish,xlm-roberta-base,finetuned,pretrained,const,single,666,0,0,666,77.32,82.58,79.87,24.92,0.91,62.46,
english,bert-base-multilingual-cased,finetuned,pretrained,const,single,2416,0,0,2416,91.11,92.64,91.87,42.80,0.47,78.19,
english,xlm-roberta-base,finetuned,pretrained,const,single,2416,0,0,2416,92.01,93.50,92.75,44.83,0.39,81.37,
chinese,bert-base-multilingual-cased,finetuned,pretrained,const,single,348,0,0,348,84.06,86.94,85.48,35.63,1.11,65.80,
chinese,xlm-roberta-base,finetuned,pretrained,const,single,348,0,0,348,87.82,90.04,88.92,40.80,0.71,74.71,
german,bert-base-multilingual-cased,finetuned,pretrained,const,single,5000,0,0,5000,85.09,89.59,87.28,49.18,0.09,93.08,
german,bert-base-multilingual-cased,finetuned,pretrained,const,single,5000,0,0,5000,85.09,89.59,87.28,49.18,0.09,93.08,
german,xlm-roberta-base,finetuned,pretrained,const,single,5000,0,0,5000,86.15,90.86,88.44,51.94,0.07,94.44,
chinese,xlm-roberta-base,not_finetuned,not_pretrained,const,single,348,0,0,348,8.07,8.72,8.2,10.92,18.44,18.97,
chinese,xlm-roberta-base,not_finetuned,pretrained,const,single,348,0,0,348,33.63,46.82,45.6,16.95,5.43,26.72,
